,mobile_price,mobile_color,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,p_cam,f_cam,network,battery_power,mob_width,mob_height,mob_depth,mob_weight,brand
125,16999,3,16.94,12,10.0,8,2.3,128,6,45,10,3,5020,76.68,165.5,8.8,209.0,0
126,6999,2,15.8,3,9.0,8,1.95,32,2,8,14,3,5000,75.41,156.48,9.4,188.0,0
127,10999,1,16.0,11,9.0,8,2.0,64,4,31,1,3,4000,75.21,159.21,8.1,186.0,0
128,55400,6,16.94,11,10.0,8,2.84,256,8,0,5,3,4780,74.8,162.58,8.96,209.0,7
129,13999,1,15.21,8,7.1,8,1.8,64,6,5,5,3,4000,75.35,158.58,8.05,181.0,0
130,16999,4,15.21,8,7.1,8,1.8,64,6,5,5,3,4000,75.35,158.58,8.05,181.0,0
131,12999,2,15.21,8,7.1,8,1.8,64,4,5,5,3,4000,75.35,158.58,8.05,181.0,0
132,17999,4,15.21,8,7.1,8,1.8,64,6,5,5,3,4000,75.35,158.58,8.05,181.0,0
133,13999,0,15.21,8,8.1,8,2.2,64,4,24,5,3,3010,75.4,158.7,7.3,168.0,7
134,6700,0,12.7,0,8.1,4,1.4,16,1,48,12,3,3000,70.1,140.4,8.35,137.0,0
135,12999,1,15.21,8,7.1,8,1.8,64,4,5,5,3,4000,75.35,158.58,8.05,181.0,0
136,9999,0,16.0,11,9.0,8,2.2,32,3,31,1,3,4000,75.21,159.21,8.1,186.0,0
137,8499,4,15.21,1,8.0,8,2.0,64,4,5,3,2,3080,77.26,160.73,8.1,168.0,0
138,6699,1,13.84,1,9.0,8,2.0,32,2,8,12,3,4000,70.4,146.3,9.55,165.0,0
139,11999,1,16.0,11,9.0,8,2.2,64,4,31,1,3,4000,75.21,159.21,8.1,186.0,0
140,7999,0,15.21,1,8.0,8,2.0,32,3,5,3,2,3080,77.26,160.73,8.1,168.0,0
141,8499,1,15.21,1,8.0,8,2.0,64,4,5,3,2,3080,77.26,160.73,8.1,168.0,0
142,9999,1,16.0,11,9.0,8,2.2,32,3,3,1,3,4000,75.21,159.21,8.1,186.0,0
143,6499,1,13.84,1,9.0,8,2.0,16,2,8,12,3,4000,70.4,146.3,9.55,165.0,0
144,7999,4,13.84,1,8.1,8,2.0,32,3,5,12,3,3000,71.5,147.5,8.3,146.0,0
145,9999,2,16.0,11,9.0,8,2.2,32,3,3,1,3,4000,75.21,159.21,8.1,186.0,0
146,11999,2,16.0,11,9.0,8,2.2,64,4,31,1,3,4000,75.21,159.21,8.1,186.0,0
147,6499,4,13.84,1,9.0,8,2.0,16,2,8,12,3,4000,70.4,146.3,9.55,165.0,0
148,13999,0,15.21,8,7.1,8,1.8,64,6,5,5,3,4000,75.35,158.58,8.05,181.0,0
149,12999,0,15.21,8,7.1,8,1.8,64,4,5,5,3,4000,75.35,158.58,8.05,181.0,0
150,8369,0,15.9,3,9.0,8,1.8,32,3,3,10,2,4000,75.58,158.73,8.47,180.0,0
151,8090,1,15.9,3,9.0,8,1.8,32,3,3,10,2,4000,75.58,158.73,8.47,180.0,0
152,9999,0,16.0,11,9.0,8,2.2,32,3,3,1,3,4000,75.21,159.21,8.1,186.0,0
